date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.0,,,,0.439155,0.003467,,,UP
,,,,,0.003467,,,UP
,2.0,,,,0.003467,0.422915,,UP
,,,0.045485,,,,,UP
,2.0,,,,0.003467,,,DOWN
,,0.106383,,,0.003467,,,DOWN
,,0.12766,,,,,,DOWN
,,0.148936,,0.152782,,,0.414912,DOWN
,2.0,,0.041161,,,,,DOWN
,,,0.041161,,,,,DOWN
,,,0.044374,,,,,UP
,,,,0.212437,,,0.414912,UP
,2.0,,,0.298721,,,0.414912,UP
,,0.276596,0.042482,,,,0.414912,DOWN
,2.0,,0.040861,,,,0.414912,DOWN
,,0.319149,,0.462214,0.003467,,0.414912,DOWN
0.0,,0.340426,,,,0.422915,,DOWN
0.0,,,,0.493306,0.003467,0.422915,,DOWN
,,,,,,,0.414912,DOWN
,,,,,,,0.414912,DOWN
,,,,,,,,UP
,,0.446809,,0.51681,,,,UP
,2.0,,,,0.003467,,,UP
,,,,0.513835,,,,UP
,,,0.044374,,,,,UP
,,,,,,,,UP
,,,,0.499554,0.003467,0.422915,,DOWN
,,,0.044374,0.491669,,0.422915,,UP
0.0,,,,,,,,UP
0.0,,,0.042482,,,,,DOWN
,,,,0.466825,,,,DOWN
,,0.659574,,,,0.422915,,DOWN
0.0,,,,,0.003467,,,DOWN
,,,0.041161,0.503124,,0.422915,,DOWN
,,,,,,,,DOWN
,,,,,,,,UP
,,0.765957,,,,0.422915,,DOWN
,,,,,,,,DOWN
,,0.808511,,0.497025,,,,DOWN
0.0,,,0.040861,,,,,DOWN
0.0,,,,,,0.422915,,DOWN
,,,,,,,,DOWN
,,0.893617,,,0.003467,,,DOWN
0.0,,,0.051489,,,,0.414912,UP
,,,0.056443,,,,0.414912,UP
,,,,,,0.422915,,UP
0.0,,0.978723,,,,,,UP
,,,,0.44094,,,,UP
,,,,,,,,UP
,,0.021277,,,,,0.414912,UP
,3.0,,,,,,,UP
,,0.06383,,,,,,DOWN
,,0.085106,,0.257959,,0.422915,,DOWN
,3.0,,0.041161,,,,,DOWN
,3.0,,,,,,,DOWN
,,,,0.151889,0.003467,,,DOWN
,,,,0.1385,,,,DOWN
,3.0,,,,,,0.414912,DOWN
,,0.212766,,,,,,DOWN
4.4e-05,,,,0.214519,0.003467,,,UP
4.4e-05,,,,,,,0.414912,UP
,,,,,,,0.414912,UP
,,,,0.395567,,0.422915,,DOWN
,,,,,,,,DOWN
,,,,,,,,DOWN
,,,,,,0.422915,,DOWN
,,,,0.52886,,,,DOWN
,,,,0.533323,,,,DOWN
,3.0,,,0.519935,,,,DOWN
,3.0,,,,,,,DOWN
4.4e-05,3.0,,,,,,,DOWN
,,,,,,,,DOWN
,,0.510638,,,,,0.414912,DOWN
,3.0,,,,,,,DOWN
4.4e-05,,,,,,,,DOWN
,3.0,,,,,0.422915,,DOWN
,,,,0.462065,,,,DOWN
,3.0,,,,,,,DOWN
,,,,,,0.422915,,DOWN
,,,,,,,0.414912,DOWN
,3.0,,0.040861,0.455965,0.003467,,,DOWN
,,0.702128,,,0.003467,,,DOWN
,,,,0.53377,,,0.414912,DOWN
,,0.744681,,,,,,DOWN
4.4e-05,,0.765957,0.040861,,,,0.414912,DOWN
,,,0.040711,,0.003467,0.422915,,DOWN
4.4e-05,3.0,,,,0.003467,,,DOWN
,,,0.040861,,,,,DOWN
4.4e-05,,,,,,,,DOWN
4.4e-05,,,,,,0.422915,0.414912,DOWN
,,,,,,,,DOWN
4.4e-05,,0.914894,,,,0.422915,0.414912,DOWN
,3.0,,,,,,0.414912,UP
,,,,,,,,UP
,,,,,,,,UP
,,1.0,0.054642,,0.003467,,,UP
,,,0.054642,,,,,UP
,,,,,,,,UP
,,0.042553,,,,,,UP
,,,0.041041,,,,0.414912,DOWN
,4.0,,0.041041,,,0.422915,,DOWN
,4.0,,0.041041,,,,,DOWN
,,0.12766,,,,,,DOWN
8.8e-05,,0.148936,,0.162452,,,,DOWN
,4.0,,,,,0.422915,,UP
,,0.191489,0.046956,,,,0.414912,UP
8.8e-05,4.0,,,,,,,UP
,,0.234043,,,,,0.414912,UP
,,,,,,0.422915,,UP
,,0.276596,0.047106,0.403451,,,,UP
,,,,,,,,UP
,,0.319149,,0.465486,0.003467,,0.414912,DOWN
,,,,,,,0.414912,DOWN
,,,,,,,,DOWN
,,,,,,,,UP
,,,,,,,,UP
,,,0.046956,,,,,UP
,,0.446809,0.047106,,,0.422915,,UP
,,,,,,,,UP
8.8e-05,4.0,,,,,0.422915,,UP
8.8e-05,,,,,,,0.414912,UP
,4.0,0.531915,,,,,,UP
,,,,,,,,UP
,,,,0.466825,0.003467,,0.414912,UP
,,0.595745,,,,,0.414912,UP
,,,,,,,,UP
,,,,,,0.422915,0.414912,UP
,,,,,,,,UP
,,,,0.450461,,,,DOWN
,,,,,,,,DOWN
,,0.723404,0.046956,0.510562,,,,UP
,4.0,,,,,0.422915,,UP
,,,,,,0.422915,,UP
,4.0,,,,,,,DOWN
,,,,,,,,DOWN
8.8e-05,,0.829787,0.040711,,,,0.414912,DOWN
,,,,,0.003467,,,DOWN
,,,0.041882,,,,,DOWN
,4.0,,0.046956,,,,0.414912,UP
,4.0,,,,0.003467,0.422915,0.414912,UP
,,,0.056443,,,,,UP
,,,,,,,,UP
,4.0,,,,,0.422915,,UP
,4.0,,,0.462065,,,,UP
0.000133,,,,,,,,UP
,5.0,,,,0.003467,,0.414912,UP
,,,,0.395567,,,,UP
,,0.06383,,0.327879,,,,UP
,,,,,,,,UP
,,,,,,,0.414912,UP
,5.0,0.12766,,,,,,UP
,,,,,,,,UP
,,,,,,,,UP
0.000133,5.0,,,,,0.422915,,UP
,,,,0.182981,,,,UP
,,,,0.226867,,,,UP
,,,0.077999,,0.003467,,0.414912,UP
,,,,,,,,UP
0.000133,,0.297872,,,,,,UP
,,,,,,,0.414912,UP
,5.0,,0.089798,,,,,UP
,,,,,0.003467,,0.414912,UP
,5.0,0.382979,,,,,,UP
,,0.404255,0.089798,,0.003467,,,UP
,5.0,,,,,,,UP
0.000133,,,,,0.003467,,,UP
