V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,class
3.919,,,,0.0,,,,2.0,0.0,0.0,,,2.55,,,,1.142,,,0.0,,0.0,,,0.0,,,0.0,,4.489,,0.0,,0.0,,,,,,,2
,,,,0.0,0.0,,,,,,0.0,,1.393,8.723,1.0,0.989,1.144,,0.0,,,,0.0,,,2.214,,,0.0,,,,,,3.315,,,7.257,0.0,,2
3.932,,,,,,,,2.0,4.0,0.0,,3.279,2.585,,0.0,1.009,1.152,0.0,,,1.092,,,,0.0,1.942,-0.008,0.0,0.0,4.891,,,,1.0,3.076,,0.0,,,0.0,2
3.0,,,0.0,,0.0,,,,,,,2.1,0.918,6.594,0.0,,,0.0,0.0,,,,,0.0,,,,,8.361,,0.0,,,1.0,,,0.0,,0.0,,2
,,0.0,,,,,,,,0.0,-0.271,,,,,,,0.0,,,1.137,,0.0,0.0,,,,,10.348,5.588,,,0.0,0.0,,2.405,0.0,8.003,0.0,,2
,3.4286,0.0,,0.0,,,,2.0,,0.0,,3.313,,,1.0,,,,0.0,0.0,,,0.0,,0.0,1.98,,0.0,,4.746,0.0,0.0,0.0,0.0,3.351,2.556,,,,,2
5.0,,,,0.0,,,,,3.0,0.0,,2.872,,9.657,0.0,1.092,1.153,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,2
4.525,,,,0.0,,0.0,,3.0,,,,,2.468,9.786,,0.98,,0.0,,,,0.0,,0.0,,2.119,-0.002,,11.115,,,,,,,,,,,0.0,2
4.596,3.0777,,,,,2.0,44.4,2.0,,,0.0,,,9.54,0.0,0.968,,,,,,,,0.0,,,0.041,0.0,0.0,,,,,,,1.917,,7.939,,,2
,,0.0,,1.0,,,,,4.0,,-1.29,,1.258,10.159,,,1.127,,1.0,0.0,1.199,,,,,,0.005,0.0,,,,1.0,,,,,,8.706,0.0,0.0,2
,2.7414,0.0,,0.0,0.0,,52.9,0.0,,,-0.302,,,,,,1.098,,0.0,,,3.0,0.0,,,,,0.0,,1.207,,,,0.0,,2.5,0.0,8.427,0.0,,2
3.618,,0.0,,,,,29.4,,0.0,,,2.333,,7.853,0.0,0.959,1.147,,0.0,0.0,1.178,,,0.0,,1.732,,0.0,0.0,,0.0,0.0,0.0,,,1.7,,,,0.0,2
