word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_%3B,char_freq_%28,char_freq_%5B,char_freq_%21,char_freq_%24,char_freq_%23,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class
,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,3.756,61.0,,1
,,,,,,,,,,0.21,,,0.21,,,,0.28,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.132,,0.372,,,,101.0,,1
,,,,,,,,,,,0.45,,,,,,,,0.32,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,1
0.0,,,,0.63,,0.31,,,,,,0.31,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,0.137,,,,,,,,1
,0.0,,0.0,,,,,,,,0.31,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,40.0,,1
,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,54.0,1
,,,,,,,,0.0,,,,,0.0,,0.96,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,1
,,,,,,,1.88,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.206,0.0,0.0,,,,,,1
,,0.46,,,,0.3,,,,,,,,,,,0.15,1.23,3.53,2.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,1
,,,0.0,,,,,,,,,,0.0,,,,,,,0.71,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,,,,0.04,,,0.244,0.081,,,43.0,,1
,,0.0,0.0,0.0,,0.96,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,1
,,,,0.38,,,,,0.0,,,0.12,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,1
,,,,,,,,,,,,,,0.0,,,,2.09,,1.04,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,261.0,1
,0.0,0.0,,0.9,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,7.0,,1
,,,,,,,,,0.71,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.357,,0.0,,,,1
,,,,,,0.42,,,,,,,,,,,0.0,,0.42,1.27,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.42,0.0,,,,,,0.0,0.0,,,,,,,5.659,,,1
,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,4.652,,,1
,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,,95.0,,1
