word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_%3B,char_freq_%28,char_freq_%5B,char_freq_%21,char_freq_%24,char_freq_%23,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class
,,,,0.32,,0.0,,,,,,0.0,,,0.32,0.0,1.29,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.778,,,3.756,61.0,,1
,0.28,0.5,,0.14,0.28,,0.07,,,,0.79,,0.21,,0.14,,0.28,,0.0,,,0.43,0.43,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.07,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,0.18,0.048,5.114,,1028.0,1
,,,0.0,1.23,0.19,,0.12,0.64,0.25,0.38,,,,,0.06,0.06,1.03,1.36,,0.51,,1.16,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.06,0.0,0.0,,0.0,,0.06,0.0,0.0,,0.143,,0.276,,0.01,9.821,485.0,,1
,0.0,0.0,0.0,,,0.31,0.63,0.31,0.63,0.31,0.31,,,0.0,0.31,0.0,0.0,3.18,0.0,0.31,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.137,0.0,0.137,0.0,0.0,3.537,,,1
0.0,0.0,0.0,0.0,,,0.31,0.63,0.31,0.63,0.31,0.31,0.31,,0.0,,0.0,0.0,3.18,0.0,0.31,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,,3.537,40.0,191.0,1
,0.0,0.0,,1.85,,0.0,1.85,0.0,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,,0.223,0.0,0.0,,0.0,,15.0,54.0,1
,0.0,,0.0,1.92,0.0,,0.0,0.0,0.64,,,0.0,0.0,,0.96,0.0,,,,0.64,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.054,0.0,0.164,0.054,,,4.0,,1
0.0,0.0,,,,0.0,0.0,1.88,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.45,,49.0,1
0.15,,0.46,0.0,,0.0,0.3,,,,0.76,0.92,,0.0,0.0,0.0,0.0,0.15,1.23,,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.3,0.0,0.0,,0.0,0.0,0.0,0.271,,,,0.022,,445.0,,1
0.06,0.12,,,0.19,,0.38,0.0,,,0.0,0.64,,,0.12,0.0,0.0,,,,,0.0,0.19,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.06,0.0,0.0,0.0,0.0,,,,0.244,0.081,,,,749.0,1
,,,,0.0,,0.96,0.0,0.0,,0.96,0.0,,0.0,,,0.0,,,0.0,0.96,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.96,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.462,0.0,,1.312,,21.0,1
,0.0,0.25,0.0,,0.25,0.25,,,,,0.12,0.12,0.0,,,,,1.16,0.0,0.77,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.022,0.044,0.0,,,0.0,,,,1
0.0,,0.34,,,,0.0,0.0,,0.0,,,0.0,,,0.34,,1.39,2.09,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,61.0,261.0,1
0.0,,0.0,0.0,0.9,0.0,0.9,,0.0,0.9,,0.0,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.083,7.0,25.0,1
,,1.42,0.0,,0.35,0.0,,,,,0.35,0.0,0.0,0.0,5.35,,,3.21,0.0,2.85,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.357,0.0,0.0,1.971,24.0,,1
0.0,0.42,,0.0,,,0.42,,,,0.0,0.0,,0.0,0.0,1.27,0.0,,1.7,0.42,1.27,,0.0,0.42,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.42,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.063,0.0,,0.063,,,,,1
0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,1.88,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.428,0.0,0.0,4.652,31.0,,1
