bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,r2ar8,reskd,reskr,rimmx,rkxwp,rxmsq,simpl,skach,skewr,skrxp,spcop,stlmt,thrsk,wkcti,wkna8,wknck,wkovl,wkpos,wtoeg,class
f,,f,f,f,,,f,f,,,f,,,,f,f,,,,,f,,,,t,,,,,f,f,f,,t,n,won
f,f,,,,f,,,,,,f,,f,n,f,,t,,f,,f,,,,,,,f,f,,f,,t,,n,won
,,f,,t,,,f,f,f,,f,l,,,f,f,,,f,,,,f,f,,f,f,,,f,,f,,,,won
,,,,,f,f,,t,,,,,,n,f,f,t,,,,,f,,f,,f,,f,,,f,,,t,n,won
,f,,,f,,f,f,,f,f,,l,,n,,,t,f,f,,f,f,,f,t,,f,,f,,,,,t,n,won
f,,,,f,f,,,f,f,f,,l,f,n,,f,,f,f,,f,,,,t,,,f,,f,f,,t,,n,won
,f,f,,f,f,f,,t,f,f,f,,,,f,,,f,,,t,,t,f,t,,,,f,f,,f,t,t,,won
f,,,,,f,,,f,,t,f,,f,,,f,t,f,,,,,,,,f,,,f,f,f,,,,,won
f,,,,f,f,,,f,,,f,,f,n,,,,,,,,f,f,f,,,,,f,t,,f,t,,n,won
f,,,,f,f,,f,,,t,f,,,,,,,,,,f,,f,f,,,,,,,f,f,,,,won
f,f,,,t,f,t,,f,,,f,l,,n,f,,,f,f,,f,,,f,,f,,f,,,f,,t,,,won
,f,,f,,,f,,t,,,,l,,,,,t,,f,f,t,,,,t,,f,f,,,,f,t,t,,won
,,,,f,f,f,,,f,t,f,l,f,n,f,f,,f,,,,f,f,,,,,,,t,,f,,,n,won
f,,f,f,,f,,,,,,,l,f,,,f,,,,,,,,,,,f,,f,,f,f,,t,n,won
f,,,,,,,,,f,t,f,,,,,,t,,f,,,,f,,,,,,f,,f,,t,,n,won
,,,f,,f,,,f,,t,f,,,,f,f,t,,f,,f,,,,t,,f,,f,,,,,,,won
f,,f,f,,f,,,,f,t,,,,n,,,,,,f,f,,,,t,f,,f,f,t,f,,,,,won
,,,,,,t,,,,,f,l,f,n,f,f,,,,f,f,f,t,,,f,,f,,,,f,t,,n,won
,f,,f,f,f,f,,t,f,,,,,n,,f,t,f,,,t,,,f,t,f,,,,,f,f,,,,won
,f,f,,f,f,,,,,,f,,,,f,f,,,f,f,,f,,,t,,f,f,f,,f,f,t,t,n,won
,,,f,f,f,,,t,,t,f,l,f,n,,f,,,t,,,,t,f,t,,f,f,f,,,,,,n,won
,f,f,f,,f,,,t,f,,f,,,,,,t,,,,t,,,f,,f,,,,,,f,,t,,won
,,,,,,,f,,,,,,,,f,f,,,,,f,,,,,,,,,f,,,,,,won
f,f,,f,f,f,,,,,,f,l,f,,,,,,,f,,f,,,,,f,,,t,f,,,,,won
f,f,,f,f,,f,,f,f,,f,,,,,,t,f,t,,,,f,,t,,f,,f,t,,,t,t,n,won
f,f,f,f,f,,t,,,,t,,,,,f,,t,f,,,f,,,f,t,,f,f,f,f,f,,t,t,n,won
,,,f,t,,,,f,,,,l,f,w,f,,,f,,,,f,,,,f,,f,,,,,,t,,won
f,f,f,,,f,,f,t,,t,,l,,w,,,,f,,f,t,,,,,f,f,,,f,,f,t,t,n,won
,,f,f,,,f,,,f,,,l,,w,,f,t,,,f,,f,t,,t,f,f,,,,f,f,t,,,won
f,f,f,,f,,f,f,f,,,f,l,,,,,,,,f,,,t,,,,f,f,f,t,f,,t,,,won
f,,f,f,,f,,f,,f,,,l,,,,,t,,t,,f,f,,,t,f,f,,f,,f,,t,,n,won
,f,f,f,,,,,,,,f,l,f,,f,,,,f,,t,f,t,f,,f,,,,f,f,,t,,,won
f,f,,,,f,f,f,,,,,,,,f,,,f,,,,,,f,t,,,,,f,f,,,,,won
f,f,,,f,f,f,,,,,f,,f,,f,,t,,,f,,,f,f,t,,f,,,,,,t,,,won
f,,,,f,f,t,f,,,,,l,f,,,f,,f,,,f,f,,,,,,f,f,,f,,,f,n,won
f,f,,f,,f,t,f,f,f,,,,f,w,,,t,,f,,f,,,f,,,,f,,,,f,,,,won
f,f,,,,,t,,,,t,,,f,,f,,,,,,f,f,,,,f,f,f,,,f,,t,f,n,won
,f,f,,f,f,,,t,,,,,,,,f,,f,,f,t,f,f,f,t,,f,,f,,,f,,f,,won
,,f,,,f,,f,,f,,,,,,,f,,,f,f,f,,t,,t,f,,,,,,f,,,,won
,f,f,,f,f,,,,f,,f,,,,f,f,,f,f,f,,,t,,,,,f,,,f,f,t,,,won
t,,,,,,,,,,,f,,f,,f,f,t,,f,f,f,f,f,,,,,,f,t,,,t,t,n,won
,f,,f,,f,f,f,,f,t,f,,f,n,,,,f,,f,,f,,,t,,f,f,f,,,,,,n,won
,,,,,,,,,,,,l,,,f,,t,f,f,,,,t,f,,f,,,,,,,,,,won
t,,f,,f,,,,,f,,,,,,,,t,f,,,f,,t,,,,f,,t,f,,,,,n,won
,f,f,,,,,f,f,f,,,,f,n,,,t,f,t,,f,,,,,,,,f,f,,f,,,n,won
,f,,,,,,,f,f,,f,,f,n,,,t,,f,,,,,,,f,,,f,,f,,,,,won
,f,,f,f,f,f,f,f,,,f,,f,,,,t,,f,,f,f,,f,t,,f,,,,,,,,n,won
t,,f,,,,,,,,t,,,,,f,f,,f,,,,,t,,,,,,f,f,f,,,,n,won
t,,f,f,,f,,,f,,,,,,n,f,,t,,,,f,,,,t,,f,,f,,,f,t,,n,won
,,,,f,f,,,,,t,,,,b,f,,,,,,,,,,,,,f,,f,,,,t,n,won
,f,,,,f,f,,f,,t,f,l,,,,f,,,,f,f,f,f,f,,,f,f,,t,,,,,n,won
,,f,,,,t,f,,f,,f,,,,f,,,,,,f,,,f,,,,f,f,f,f,f,,,,won
,,f,,f,f,f,f,f,,,,l,,,,,,f,,,,f,t,,,f,f,,,f,f,,t,,,won
,f,f,f,,,f,f,f,,t,,l,,,,f,,,f,,,f,t,,,f,,f,,t,,,,,,won
t,,f,,f,,t,f,f,f,t,,l,f,,,f,,,f,,f,,t,,t,,f,,f,,f,,t,,,won
,f,,,f,,f,,,f,t,,l,,b,,,,,f,,f,,f,,,,f,,,f,f,,,,n,won
t,f,,,f,,,,,,t,,l,,w,,,t,,,f,,,,f,t,,f,,f,,,,t,,,won
t,f,,,,,,,,f,t,,,,,,f,t,,f,,f,f,,,,,,,,f,,,,,,won
f,,,,f,,f,f,,f,f,,,,,,,,f,,f,f,,,f,,,,,f,,,,t,t,,won
,,,,f,f,,f,f,f,f,f,,f,,,f,,f,f,,,,,,,,,,f,f,,f,,t,,won
f,,f,,,f,,,,f,f,,,f,,f,f,,f,f,f,f,f,,,t,f,f,,,,,,,t,,won
,f,,f,t,,t,,,f,f,f,,,,,,,,,,,f,,f,,f,,,,,f,,t,,n,won
,f,,f,,,t,,f,f,f,f,l,,,f,,f,,,,,,f,f,,,f,f,f,,f,,,,,won
f,f,,f,,f,,,,,,,l,,,,f,f,,f,,f,,,f,,f,,f,,,f,,,,n,won
,,f,f,f,,f,,f,,,f,,,,f,,,,,,f,f,,,t,,f,,,f,f,f,f,,,won
f,f,,f,,f,,f,,,,f,,f,,f,,f,,,,,,,,t,,,f,,,,,,,,won
f,,,,f,f,f,f,,f,f,,,,n,,,f,f,f,f,f,f,,f,,f,,f,,,f,,f,,,won
,,,f,,,,f,,,,,l,f,n,,f,,,,f,,f,t,,t,,f,f,,f,,,,t,,won
f,f,,f,,,t,,f,,f,,,,,,,,f,f,f,f,,,,,,,,,,f,f,,,n,won
,,,,,,,,f,,,,l,f,,,,f,f,f,,,f,,,t,f,,f,,f,,t,,t,,won
