checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
,,critical/other existing credit,,,,>=7,,,,,,,,,,,,,,good
,,existing paid,,,<100,1<=X<4,,,,,,22.0,,,,,1.0,,,bad
,,,,,,,2.0,,none,,,,,,1.0,,,,,good
,,,furniture/equipment,,,,,,guarantor,,life insurance,45.0,,for free,,,,,,good
,,delayed previously,new car,4870.0,,,,,,,,,none,for free,2.0,,,,,bad
,,existing paid,,9055.0,no known savings,,,,,4.0,no known property,35.0,,,,,,,,good
no checking,,,,,,,,,,,,,none,,,,,,,good
,36.0,,,,,,,,,2.0,,,,,,,1.0,,,good
,,,,,,,,,none,4.0,,,none,,,,,,,good
,,critical/other existing credit,,5234.0,,,,,,,,,,,,,,none,,bad
,12.0,,,,,,,,,1.0,,,,,,,1.0,,,bad
,,,,,,,,,,,,,none,,1.0,,,,,bad
,,,,,,1<=X<4,,,,,,,,,,skilled,,yes,,good
,,,,1199.0,<100,,,,,,,,,,,,,,,bad
,,,new car,,,,,,none,4.0,,,,,,,,,,good
,,,,,100<=X<500,,,,,,,32.0,none,,1.0,,,,,bad
,,critical/other existing credit,,,no known savings,,,,,,,,,own,,,1.0,,,good
,,,,,,<1,,,,,,,,own,,,,,yes,good
,24.0,,,,,,,,,,,,none,,,high qualif/self emp/mgmt,,,,bad
,,,,,,,,,,,,,none,,,,,,,good
no checking,9.0,,new car,2134.0,,,,,none,4.0,,,,,3.0,,,,,good
<0,6.0,existing paid,,,,1<=X<4,,,,,,,none,,,skilled,,,,good
,,,new car,2241.0,,,,,,,,,none,,,,,,,good
,,,,,100<=X<500,,3.0,,,,,44.0,,,1.0,,,none,,good
,10.0,,,,,,,,,,,,,,,,1.0,,,good
,,existing paid,,,,,,male single,,,real estate,,,,,,,,,good
no checking,,,,,,>=7,,,,,car,,,own,,,,,,good
>=200,,,,,,,,,,,,42.0,,,2.0,skilled,,none,,good
,7.0,,radio/tv,,,,,male single,,,,,,own,,skilled,,none,,good
,60.0,,,,<100,>=7,,,,4.0,,,,,,,,yes,,bad
,18.0,,,,>=1000,,,,none,,,,bank,,,skilled,,,,good
,24.0,existing paid,,,<100,,,male single,,,,27.0,,own,,skilled,,,,good
,,,,,100<=X<500,,,male single,,,,,,,,,1.0,,,good
,,,,,no known savings,>=7,,male single,,4.0,,,,,,unskilled resident,,,,good
>=200,,,,1474.0,,,4.0,,,1.0,life insurance,,,,,,,,yes,good
,,,,,<100,<1,,,,2.0,,,none,,,,,,yes,bad
,,critical/other existing credit,,6110.0,,,,,,,,,,,1.0,,,,,good
,18.0,existing paid,,2100.0,,,,,,,,37.0,,own,,skilled,1.0,none,,bad
,,,,,<100,,,,none,,,,none,,,skilled,,,,good
,,,,,,,,,,,real estate,24.0,,,1.0,skilled,,,,good
,30.0,,radio/tv,,,,4.0,,,,,,,,,,,,,good
,12.0,existing paid,,1158.0,,,,,,,,,,own,,,,,,good
,,,repairs,,<100,,2.0,,none,,real estate,,,own,,,,,,good
,,critical/other existing credit,used car,,,,,,,,,,,rent,,,,,yes,good
,,,,,<100,,,,,4.0,,,,,,unskilled resident,,,,bad
,11.0,critical/other existing credit,,,,,,,,4.0,,,none,,,,1.0,none,yes,good
,36.0,,,,500<=X<1000,,,,,,,,,,,,,,,good
,,,used car,,,,1.0,,,,,,,,1.0,,1.0,,yes,good
,,,,,,,,,,,,,,own,,,,,,good
no checking,,,,,,1<=X<4,,female div/dep/mar,co applicant,,,,none,,,,,none,yes,good
,,,furniture/equipment,,,<1,4.0,male single,,2.0,life insurance,,,,,,,none,,good
,27.0,,,,,,,male single,,2.0,car,30.0,,,,,,,,good
,,,radio/tv,,<100,1<=X<4,3.0,male single,none,,,,none,own,,skilled,,,,good
no checking,,,used car,,,,,,none,,,,,,1.0,,,yes,,good
0<=X<200,,delayed previously,new car,,,,,,,4.0,,,bank,,,,,,,bad
,,,,,,,,,,,,,,,,unskilled resident,2.0,,,good
,,existing paid,,,,unemployed,2.0,,,,,,,,,,1.0,,,bad
,36.0,,,,,,,,none,,,,,,2.0,,,none,,good
,,,,,,>=7,,,none,,,,,,,,,,,good
<0,,,,,,<1,,,,,,23.0,,,,,1.0,,,bad
0<=X<200,9.0,,,1391.0,,,,,,,,,,,,,,,,good
