loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
1.1,1.4,,1.4,,,,1.3,1.3,,1.3,,,,,,1.2,1.2,,,,no
1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,yes
415.0,,50.0,51.0,,8411.31,0.01,103.53,,870848.58,2.8,,,,,10.0,47.0,,,467.0,106.0,yes
,,,,575.0,,,39.82,,,,8258.0,,,34.0,,23.0,,,232.0,,yes
175.0,26.0,,,500.0,,0.03,,105.96,92103.07,,,,,,,18.0,58.0,310.0,,51.0,yes
163.0,,13.0,,,,,32.25,84.14,,,4866.09,,,20.0,0.0,,,,180.0,,yes
,11.0,,11.0,432.0,,,31.68,83.01,83311.56,,4628.42,114.0,,,,18.0,50.0,256.0,,21.0,yes
3.0,1.0,,1.0,,,,0.0,0.0,,0.0,,,0.0,,0.0,1.0,,1.0,,,no
,2.0,1.0,,,88.0,,5.79,,509.14,0.03,28.29,,0.0,1.0,,9.0,7.0,,,3.0,no
10.0,,1.0,,18.0,,,,9.22,,0.02,,,0.0,,,,4.0,,,3.0,no
8.0,,,,,31.7,,,,,,,3.0,0.0,,1.0,,,,5.0,,no
6.0,1.0,1.0,,5.0,11.61,,1.5,,17.41,,,,0.0,,,3.0,,,2.0,,no
,,1.0,,11.0,36.54,,,9.74,137.03,,7.61,,,0.0,,6.0,4.0,,5.0,,no
,,,1.0,9.0,25.27,,,16.84,,,2.11,2.0,,0.0,,,,,4.0,,no
,,1.0,1.0,,,,,,,0.0,,,,,,,,,,,no
,1.0,,,,11.61,,,7.74,,0.0,,0.0,,0.0,,1.0,,,,,no
,,1.0,2.0,,,0.05,,22.58,,0.14,,,,7.0,,,17.0,,34.0,,no
,1.0,1.0,,,19.65,0.4,2.5,,,,2.73,,,0.0,0.0,5.0,,5.0,,1.0,no
9.0,,1.0,,21.0,,,4.0,,,,19.46,,,,0.0,,,11.0,,3.0,no
,2.0,,,,87.57,0.25,,,,0.03,,,0.0,0.0,,,,,,,no
,,,,16.0,,0.35,,,,,,,,,0.0,5.0,,8.0,8.0,,no
6.0,1.0,,1.0,,,,2.86,20.08,,,,,,0.0,0.0,,7.0,,,1.0,no
11.0,,1.0,1.0,,,,,,,0.04,22.63,,0.0,1.0,,,13.0,,14.0,,no
14.0,,,,,147.16,0.13,8.0,,,,,11.0,1.0,0.0,,,,17.0,16.0,,no
,,,5.0,,,0.05,18.2,,15102.51,0.28,,,2.0,,0.0,14.0,,,65.0,,no
,,,,,0.0,,,0.0,0.0,,,,,,0.0,1.0,0.0,,,,no
,,,,193.0,,,19.92,,,,,56.0,,8.0,,22.0,37.0,126.0,,,no
10.0,1.0,1.0,1.0,,53.89,,,,107.78,,5.99,5.0,,,0.0,,8.0,,,,no
,1.0,,,17.0,,0.67,1.5,,88.22,,,,0.0,,,,,,8.0,,no
4.0,1.0,,1.0,,,0.4,,6.2,,,,,,,,,1.0,,1.0,,no
,1.0,,1.0,5.0,11.61,0.67,1.5,7.74,,,,2.0,0.0,0.0,,,,3.0,,,no
,9.0,5.0,,,,0.07,13.68,35.81,,,,,1.0,1.0,,13.0,19.0,,,17.0,no
,,,2.0,32.0,138.3,,,,,0.05,49.94,,,1.0,,,,19.0,,,no
,6.0,,3.0,,,,14.61,37.63,,,,35.0,1.0,,,,23.0,62.0,,,no
39.0,,1.0,,,520.19,,,,,0.17,401.55,29.0,1.0,,,,19.0,61.0,44.0,,no
7.0,,,,10.0,30.0,0.22,4.5,,135.0,0.01,7.5,5.0,0.0,,,,,7.0,3.0,,no
82.0,10.0,,,,1178.66,0.07,,78.4,,,,,,7.0,0.0,,30.0,,,,no
,2.0,1.0,,,,,5.6,,373.0,0.02,20.72,,,,,8.0,5.0,,,,no
,3.0,1.0,,29.0,120.93,0.17,6.0,,725.57,,40.31,,,1.0,0.0,,,,12.0,,no
,4.0,,3.0,,,,7.13,,,0.15,183.7,,,,,,,,,7.0,no
,,1.0,1.0,4.0,8.0,,1.5,5.33,,0.0,0.67,2.0,,0.0,,,,3.0,1.0,,no
,1.0,1.0,,,,,1.5,,,0.0,,,,0.0,0.0,,1.0,,,,no
,1.0,,,,,,1.5,,12.0,,0.67,2.0,,,0.0,,1.0,3.0,,1.0,no
4.0,1.0,1.0,,4.0,,0.67,,,12.0,,,,,0.0,0.0,,,3.0,,1.0,no
,,,1.0,,8.0,0.67,1.5,,,0.0,0.67,,0.0,,,,,,1.0,,no
4.0,1.0,1.0,,,8.0,,1.5,,12.0,,0.67,2.0,,,0.0,3.0,,,1.0,1.0,no
4.0,,,1.0,,8.0,,,5.33,12.0,,0.67,2.0,,,,,,,1.0,1.0,no
9.0,,,,,,0.5,2.0,11.23,44.92,,,,,,,,,5.0,,1.0,no
,,,,185.0,,,19.32,,,0.33,,,,5.0,,,25.0,,,11.0,no
4.0,,,,,36.54,0.4,,,,0.01,,2.0,,,0.0,,,,5.0,,no
,,1.0,1.0,23.0,87.57,,,14.01,547.31,0.03,,6.0,0.0,2.0,0.0,10.0,,,,,no
,3.0,,,40.0,,,,,1241.47,,,11.0,,,,11.0,13.0,24.0,,,no
20.0,,,,45.0,,,,30.1,,0.07,,,,,0.0,10.0,12.0,,,,no
,1.0,1.0,1.0,,46.51,0.67,,,,,,,0.0,2.0,,,,,,1.0,no
15.0,,,,,,0.13,,17.97,,,,,0.0,3.0,,,,21.0,,1.0,no
,,,1.0,32.0,,0.13,7.86,,,,,,,,0.0,10.0,,,,,no
26.0,,,,53.0,249.12,0.11,,,,0.08,,,0.0,3.0,,,,35.0,,7.0,no
6.0,,,1.0,11.0,34.87,,,9.96,,,6.78,,,,0.0,,,,,,no
15.0,2.0,,,,169.46,,7.8,21.73,,0.06,,10.0,0.0,1.0,0.0,,10.0,,,3.0,no
6.0,,,1.0,,,,,,122.04,,,,0.0,,0.0,7.0,,9.0,2.0,,no
4.0,,1.0,1.0,9.0,25.27,,,8.42,,0.01,,2.0,0.0,,0.0,,1.0,8.0,,1.0,no
,2.0,,1.0,,55.51,0.33,3.0,,,,9.25,,0.0,0.0,,,,8.0,7.0,,no
3.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,no
17.0,,1.0,,,,0.09,,,,,,,0.0,,,14.0,15.0,41.0,,,no
,2.0,,,,141.78,0.17,,,,0.05,,,,,,10.0,14.0,34.0,24.0,,no
16.0,,,1.0,58.0,,,8.57,,,,,,,,,9.0,,,,,no
,2.0,,2.0,84.0,,,10.39,,4239.4,,,,,,,,18.0,,,3.0,no
,2.0,,,,677.23,,10.15,,,,,,1.0,,,,,82.0,48.0,,no
,,,,,6.34,,0.75,,,,0.26,2.0,0.0,,,,,18.0,11.0,,no
,,,,29.0,67.34,0.12,,,555.52,,30.86,,0.0,0.0,,2.0,,,11.0,,no
,,1.0,,19.0,68.11,,1.1,,,,4.16,,,0.0,0.0,1.0,,1.0,3.0,,no
,,,1.0,4.0,,0.67,1.5,5.33,12.0,,0.67,,,0.0,,,1.0,3.0,,,no
4.0,1.0,1.0,1.0,6.0,,0.5,,,,0.01,,2.0,,,,4.0,2.0,,,1.0,no
,,,,4.0,,0.67,,,12.0,,,,,1.0,0.0,3.0,,,,,no
,,,,55.0,,,,,1287.55,,71.53,,,,0.0,6.0,11.0,34.0,21.0,,no
,1.0,,,,,,,,,,,,0.0,0.0,0.0,,,3.0,,1.0,no
56.0,3.0,1.0,,285.0,1722.65,,18.08,95.28,,,1730.31,,3.0,,,,,,,,no
,,1.0,1.0,7.0,,0.5,2.0,9.83,,0.01,,2.0,,0.0,0.0,4.0,,,3.0,,no
,1.0,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,,,,,,5.0,,,no
,,5.0,,,,,,,,,,67.0,,,0.0,16.0,,,,,no
,1.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,,,,1.0,no
,2.0,1.0,,23.0,,0.14,7.2,,,0.03,35.03,12.0,,,,9.0,,,,3.0,no
,,,3.0,,371.56,,,,,0.12,,,,,,,16.0,,28.0,7.0,no
,6.0,5.0,4.0,,,,14.0,,,,269.21,,2.0,,,,14.0,44.0,,,no
4.0,1.0,1.0,,4.0,,0.67,,,,,,,,0.0,,,,3.0,,1.0,no
,,,,,1488.0,0.05,19.17,,,,1584.74,,3.0,5.0,0.0,,47.0,,,,no
10.0,2.0,,,,,,,,502.57,,27.92,8.0,0.0,,,,,,9.0,3.0,no
,,,,102.0,495.51,,,42.68,,0.17,,,,,,,,,,,no
,4.0,1.0,4.0,114.0,,,15.53,,,,487.21,,1.0,,,,,71.0,43.0,,no
29.0,6.0,,,67.0,,,12.46,,,,,,,,0.0,,13.0,,,,no
3.0,,,1.0,,0.0,,,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,,no
68.0,,,,76.0,,0.08,,28.4,,,,,,,0.0,,,,,,no
,,,3.0,167.0,863.38,,,47.31,15756.64,0.29,,51.0,,,0.0,11.0,,47.0,29.0,,no
,,1.0,,,,,1.5,,12.0,0.0,,2.0,,0.0,,,,,,,no
,,1.0,,,30.0,,3.0,,,,,,0.0,,,4.0,5.0,,7.0,,no
8.0,1.0,1.0,,,,0.0,,,,0.0,0.0,,,0.0,,4.0,,,6.0,1.0,no
7.0,1.0,,1.0,,,,,,,,,5.0,,0.0,0.0,,12.0,10.0,,,no
4.0,,,1.0,,87.57,,1.08,,,,,,0.0,,0.0,,0.0,1.0,0.0,,no
45.0,,,4.0,,,,13.76,,8625.23,,,37.0,,5.0,,16.0,,,,,no
,,1.0,,6.0,15.51,,,,38.77,0.01,,,0.0,,0.0,,1.0,,,1.0,no
4.0,1.0,1.0,1.0,,8.0,0.67,,,,,0.67,2.0,0.0,0.0,,,,,,1.0,no
,,1.0,,50.0,216.1,,,,,,,,,2.0,,,,28.0,22.0,,no
,1.0,1.0,1.0,4.0,8.0,0.67,,5.33,12.0,,,2.0,,0.0,,,,3.0,,,no
4.0,1.0,1.0,,,,0.67,1.5,,,,,,,,0.0,3.0,,,,,no
4.0,,1.0,,,,,,,12.0,0.0,,,0.0,0.0,,3.0,,,1.0,1.0,no
,,,,,,,,7.74,17.41,0.0,,3.0,0.0,,0.0,,,3.0,,1.0,no
15.0,6.0,,5.0,44.0,179.85,,4.36,41.22,784.79,,,,,,,6.0,11.0,28.0,,,no
,1.0,,,,,0.67,1.5,5.33,,0.0,0.67,2.0,0.0,0.0,0.0,,,,,1.0,no
,,,,,8.0,0.67,1.5,5.33,12.0,,0.67,,,0.0,0.0,3.0,1.0,,1.0,,no
4.0,,1.0,,5.0,,,,,,,,2.0,,0.0,,3.0,,,,1.0,no
,1.0,,,,,,2.5,6.2,,0.01,,2.0,,0.0,0.0,,,,1.0,,no
188.0,,,5.0,509.0,,,,,,,,,,40.0,,,,326.0,183.0,15.0,no
4.0,,,,,,0.67,,7.74,,0.0,0.97,2.0,0.0,0.0,0.0,,2.0,,2.0,,no
,,1.0,,,30.0,,3.33,9.0,100.0,0.01,5.56,,,,,,,6.0,,1.0,no
,,,1.0,,,0.67,1.5,7.74,17.41,0.0,,2.0,0.0,,,,,,2.0,,no
4.0,1.0,,,5.0,11.61,0.67,,7.74,,0.0,,,,0.0,,,,,2.0,1.0,no
8.0,1.0,,1.0,,,,,,100.0,0.01,,,,,,,,,,1.0,no
8.0,,,,,,0.3,,9.0,,,5.56,,,,,,,,,,no
20.0,,,,33.0,137.61,,,22.93,,,45.87,,,,0.0,,,21.0,,,no
,,,,,30.0,0.3,,9.0,,0.01,,,,,0.0,,,,,,no
8.0,1.0,1.0,,,,0.3,,,,0.01,5.56,4.0,,,,,3.0,,,,no
,1.0,,,10.0,30.0,,,9.0,100.0,,,,,,,,3.0,,,1.0,no
,1.0,,1.0,,,,,,,,,,,,,,3.0,,4.0,,no
,,,1.0,,,0.3,3.33,,,,5.56,,,1.0,,,,6.0,4.0,,no
,,1.0,1.0,5.0,,,,,17.41,,,2.0,,1.0,0.0,3.0,2.0,,,1.0,no
4.0,1.0,,,5.0,,,,7.74,,0.0,,,,0.0,,,2.0,,,1.0,no
8.0,,,,,,,3.33,,,0.01,5.56,,0.0,1.0,,,3.0,,,,no
,,1.0,,,,0.3,,,,,,,,,,,3.0,,,1.0,no
,1.0,,1.0,,,0.67,,,17.41,,,,,0.0,0.0,,,,,1.0,no
82.0,10.0,,,181.0,999.76,,21.4,,21391.52,,1188.42,59.0,2.0,19.0,,,,,,,no
38.0,,1.0,,,,0.2,5.02,70.51,,,98.69,25.0,0.0,,,9.0,26.0,40.0,29.0,3.0,no
,,,3.0,136.0,742.48,,,42.12,,,,43.0,,12.0,,17.0,27.0,80.0,56.0,,no
,,1.0,3.0,,,,12.27,28.4,4275.3,,237.52,25.0,0.0,4.0,0.0,,19.0,43.0,36.0,,no
7.0,1.0,1.0,,,25.27,0.27,3.75,,94.75,0.01,,,,,,5.0,,,,,no
,,1.0,1.0,1.0,,,0.0,,0.0,0.0,,0.0,,,,,0.0,,0.0,1.0,no
,,1.0,,,,1.33,0.75,,,,,,0.0,0.0,,1.0,,1.0,3.0,,no
,,,,4.0,,,,5.33,12.0,,0.67,,0.0,,,,1.0,,,,no
,,,,,,0.67,,,,,,2.0,,,,,1.0,,,,no
,1.0,1.0,,,,,,,12.0,0.0,,,0.0,0.0,,,,,,,no
,,1.0,,,241.16,,13.57,,3272.89,0.08,,,,,,,7.0,40.0,19.0,,no
,1.0,1.0,1.0,5.0,,0.67,1.5,,,0.0,,2.0,0.0,,,3.0,2.0,,2.0,,no
4.0,1.0,1.0,,,,,,6.2,,,,2.0,,,0.0,5.0,,,1.0,1.0,no
,,,4.0,,,0.09,,17.71,,,,19.0,0.0,,,9.0,6.0,36.0,15.0,,no
,,1.0,,1.0,,,,0.0,,,,1.0,,,,,,,,1.0,no
,,,,,60.94,,,,,0.02,,8.0,,,0.0,8.0,,,6.0,3.0,no
,1.0,,1.0,5.0,,0.67,,7.74,,,,,,0.0,,,2.0,3.0,,,no
,,,,5.0,,,,,0.0,,,,,,,5.0,0.0,,0.0,1.0,no
,,1.0,,,,0.07,14.25,,7455.41,,414.19,,,3.0,,15.0,20.0,64.0,,7.0,no
,,,,101.0,,0.07,14.61,35.18,7504.68,,416.93,,3.0,3.0,,,,,,,no
,2.0,,,36.0,152.93,,,,,0.05,,,,,0.0,,7.0,26.0,,3.0,no
21.0,,,,,134.89,,,,,0.04,53.53,,1.0,2.0,,10.0,7.0,23.0,,3.0,no
,,,,,,,,,,,,19.0,,5.0,,15.0,11.0,,,,no
,,,,59.0,,,13.36,20.5,,,,,,,,16.0,23.0,,,5.0,no
,3.0,3.0,2.0,,623.68,,,36.59,,0.21,,,3.0,7.0,,,11.0,38.0,,,no
,,1.0,4.0,89.0,,,,25.36,8217.11,0.15,456.51,28.0,,,,18.0,17.0,55.0,,7.0,no
,3.0,,3.0,134.0,722.57,,,44.85,,,646.75,32.0,,,,,27.0,,,,no
,1.0,,,,11.09,,1.5,,,,0.92,,0.0,,,,4.0,2.0,,1.0,no
,,1.0,1.0,,16.0,,,,,0.01,,,,0.0,0.0,,3.0,1.0,7.0,,no
3.0,,,1.0,,,0.5,,12.92,51.7,0.01,2.87,,,,0.0,,2.0,,,,no
45.0,3.0,1.0,,84.0,416.15,,,,,,,,,5.0,,16.0,15.0,,,,no
,,1.0,4.0,,,0.07,,31.49,,,315.72,,7.0,,,,,57.0,31.0,7.0,no
4.0,,,1.0,,,,1.5,,12.0,,0.67,,0.0,,,3.0,,3.0,1.0,1.0,no
,1.0,,1.0,4.0,8.0,0.67,,,,,,2.0,,,0.0,3.0,,,1.0,1.0,no
,1.0,,,6.0,,,0.0,,0.0,,,2.0,,,0.0,,0.0,6.0,0.0,1.0,no
4.0,1.0,1.0,,4.0,,,,5.33,,,,,,,0.0,,,,,1.0,no
,,,1.0,,,,1.5,5.33,12.0,0.0,,,0.0,0.0,,,,,,,no
,1.0,,1.0,,,,,,,0.0,,,0.0,,0.0,3.0,,3.0,,1.0,no
