COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR_AXIS_ASPECT_RATIO,MAX_LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR_AXIS_RECTANGULARITY,MAX_LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class
,,,,72.0,,,42.0,,,,,,,,,,,van
,,,141.0,57.0,,,,,,,,,,,,189.0,,van
,,106.0,,,10.0,,,,158.0,,,,,14.0,9.0,,196.0,saab
,,,,,,,,19.0,,,,127.0,63.0,,10.0,,,van
85.0,,,205.0,,,,,,,,,,,,,,,bus
,,,,,,,,,,,,,,,,181.0,,bus
,,,173.0,,6.0,,,,143.0,,,,,,1.0,200.0,,bus
,,,,,9.0,,,,,,,164.0,,,,,,van
,,,,,,,,,127.0,,,112.0,,,,,,van
93.0,,98.0,,,,183.0,,,,,,,,,,,,saab
,,,,,,133.0,,,130.0,,266.0,,,,,,202.0,van
,34.0,,136.0,,6.0,,54.0,,,,,,,,,,,saab
,46.0,74.0,,68.0,,,,19.0,,180.0,,192.0,,,,,,bus
,,85.0,,,,152.0,,,,,345.0,,,,,,,van
,49.0,,,,,,37.0,,,,,206.0,,,2.0,,,bus
,,,,,,,32.0,,,,624.0,,74.0,,,,,opel
,,,109.0,,,,,,,,,,,,,181.0,185.0,van
,,,,69.0,,,,,139.0,,,,72.0,4.0,,,,bus
104.0,54.0,,,,,,,,,,,220.0,,5.0,,,,saab
101.0,,100.0,,,10.0,,,,169.0,,,,,6.0,,,,opel
,,,,,,,,,,,,,,,3.0,,192.0,bus
,,,,,5.0,123.0,,17.0,125.0,141.0,,,,,,,183.0,van
94.0,,,,,,,,,,,,,,,,,,bus
87.0,,,,,,143.0,,,,164.0,,141.0,,,,,,bus
99.0,,,,,,,,,,,,,68.0,,,,201.0,saab
,,,,,,,,,,,,,,1.0,,,199.0,van
,,,119.0,,,,,,,,,139.0,82.0,6.0,3.0,,,saab
,,98.0,,,,,31.0,25.0,,,,,,,,,,saab
,,,193.0,,,192.0,,,,,,163.0,,,,,,bus
,38.0,63.0,,,,,,,,,,,,,20.0,,185.0,saab
,,,,,,,,,,,356.0,174.0,,,9.0,,,van
,,77.0,,,,,,18.0,,,293.0,,,,,198.0,,saab
,,,,59.0,,,,,,,,,64.0,,,,,opel
101.0,,,,68.0,,,32.0,,,,,,,,,,202.0,opel
,38.0,,,,,164.0,,20.0,,186.0,,130.0,,,,,,opel
100.0,,,,,,,,20.0,150.0,,363.0,,,,7.0,,,van
,,,,,,,44.0,19.0,,174.0,,,,2.0,2.0,180.0,185.0,bus
,,86.0,306.0,126.0,,,,,,,,,118.0,0.0,15.0,,,van
,,,,,10.0,216.0,,,,,,,,,,,,saab
,,,,,,,,19.0,,,,186.0,,,0.0,,,bus
95.0,,,,,,,32.0,23.0,,,628.0,202.0,,,,,,opel
,,51.0,,,5.0,,57.0,,,,,,,,,,183.0,van
,,,137.0,,,,,,,178.0,,,,5.0,,,194.0,van
,,,,,,,40.0,,,191.0,,,,,,,,saab
,54.0,,220.0,,,,31.0,,,,,232.0,66.0,,,,202.0,saab
,,,,,,159.0,43.0,,,,,,,,4.0,,,van
,,,,55.0,,,51.0,18.0,146.0,,,,,,,,194.0,van
,,66.0,,,,148.0,46.0,,,,317.0,,,6.0,14.0,,,bus
,47.0,81.0,,,,,,20.0,,,,,,,13.0,,,van
91.0,,,,,,,,20.0,,,,179.0,,0.0,10.0,,,saab
,38.0,,,,,,47.0,,,,,,,,,181.0,,saab
,,,,,7.0,154.0,,,,,355.0,,,,,,,saab
98.0,,101.0,,70.0,9.0,,,,,,,,,,6.0,,,opel
,,,,,,,,,,169.0,,165.0,,,11.0,,209.0,bus
101.0,56.0,,,,,,,28.0,,,,,,,,180.0,,bus
,,66.0,151.0,61.0,,,,,,,,,,9.0,3.0,201.0,,van
97.0,,,,,9.0,,,22.0,,202.0,,,,,,,,saab
