checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,6.0,critical/other existing credit,radio/tv,1169.0,,,4.0,male single,none,4.0,real estate,,none,own,2.0,skilled,,yes,yes,good
0<=X<200,48.0,existing paid,radio/tv,5951.0,<100,1<=X<4,2.0,female div/dep/mar,,,real estate,22.0,none,,1.0,skilled,,,yes,bad
no checking,12.0,critical/other existing credit,education,,<100,4<=X<7,2.0,male single,none,3.0,real estate,49.0,none,,1.0,unskilled resident,2.0,none,yes,good
<0,42.0,existing paid,furniture/equipment,7882.0,<100,,2.0,male single,,4.0,life insurance,,,for free,1.0,skilled,2.0,,yes,good
<0,24.0,delayed previously,new car,4870.0,<100,,3.0,male single,none,4.0,no known property,,none,for free,2.0,skilled,,none,yes,bad
no checking,36.0,existing paid,education,9055.0,no known savings,1<=X<4,2.0,male single,none,4.0,no known property,35.0,none,for free,1.0,unskilled resident,,yes,yes,good
no checking,,,,2835.0,,>=7,,male single,none,4.0,life insurance,,none,own,1.0,skilled,1.0,,yes,good
0<=X<200,36.0,existing paid,used car,6948.0,,1<=X<4,2.0,,none,2.0,car,35.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,,yes,good
,12.0,,radio/tv,3059.0,>=1000,4<=X<7,2.0,male div/sep,none,4.0,real estate,61.0,none,own,1.0,,1.0,none,yes,good
0<=X<200,30.0,critical/other existing credit,,5234.0,<100,,4.0,,,2.0,car,28.0,none,own,,high qualif/self emp/mgmt,,,,bad
0<=X<200,,existing paid,new car,1295.0,<100,<1,3.0,female div/dep/mar,none,1.0,car,25.0,none,,1.0,skilled,1.0,none,yes,bad
<0,48.0,existing paid,,4308.0,<100,,,female div/dep/mar,none,4.0,life insurance,24.0,none,rent,,skilled,1.0,none,yes,bad
0<=X<200,12.0,existing paid,,1567.0,<100,,1.0,female div/dep/mar,none,1.0,,22.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,critical/other existing credit,,1199.0,<100,>=7,4.0,male single,none,4.0,car,60.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
<0,,existing paid,new car,1403.0,<100,,2.0,female div/dep/mar,,4.0,car,28.0,,rent,1.0,skilled,1.0,none,yes,good
<0,24.0,existing paid,radio/tv,1282.0,,1<=X<4,4.0,female div/dep/mar,none,,car,32.0,,own,1.0,unskilled resident,1.0,none,yes,bad
no checking,24.0,,radio/tv,2424.0,no known savings,,,male single,none,4.0,life insurance,,none,own,2.0,skilled,1.0,,yes,good
,30.0,,,,no known savings,<1,2.0,,none,3.0,car,25.0,bank,,3.0,skilled,1.0,none,,good
0<=X<200,,existing paid,used car,12579.0,<100,>=7,,female div/dep/mar,none,2.0,no known property,44.0,none,,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,24.0,,radio/tv,3430.0,500<=X<1000,>=7,,male single,none,2.0,car,31.0,none,own,1.0,skilled,2.0,yes,,good
no checking,9.0,critical/other existing credit,new car,2134.0,,1<=X<4,4.0,male single,none,4.0,,,none,own,3.0,skilled,1.0,yes,yes,good
,6.0,existing paid,radio/tv,2647.0,500<=X<1000,,2.0,male single,,3.0,real estate,44.0,none,rent,1.0,skilled,,,yes,good
<0,,critical/other existing credit,new car,2241.0,<100,<1,1.0,male single,none,3.0,real estate,48.0,none,rent,2.0,unskilled resident,2.0,none,no,good
0<=X<200,12.0,critical/other existing credit,used car,1804.0,100<=X<500,<1,3.0,,,4.0,life insurance,44.0,none,own,1.0,skilled,,,yes,good
no checking,10.0,,furniture/equipment,2069.0,no known savings,,2.0,male mar/wid,,1.0,,26.0,,,2.0,skilled,1.0,none,no,good
<0,6.0,existing paid,furniture/equipment,1374.0,<100,1<=X<4,1.0,male single,none,,real estate,36.0,bank,own,1.0,unskilled resident,1.0,,yes,good
,6.0,no credits/all paid,radio/tv,426.0,,>=7,4.0,male mar/wid,none,4.0,car,39.0,none,own,1.0,unskilled resident,1.0,none,,good
>=200,12.0,,radio/tv,409.0,>=1000,,3.0,female div/dep/mar,,,real estate,42.0,none,,,skilled,1.0,none,yes,good
0<=X<200,7.0,existing paid,radio/tv,2415.0,<100,1<=X<4,3.0,,guarantor,,real estate,34.0,none,,,skilled,,,yes,good
<0,,delayed previously,business,6836.0,<100,>=7,3.0,male single,none,4.0,,63.0,,,2.0,skilled,,yes,yes,bad
,18.0,existing paid,business,1913.0,>=1000,,3.0,male mar/wid,,3.0,real estate,36.0,bank,own,1.0,,1.0,yes,yes,good
<0,24.0,existing paid,furniture/equipment,,<100,,,male single,none,2.0,car,27.0,stores,,1.0,,,,yes,good
0<=X<200,18.0,existing paid,,,100<=X<500,1<=X<4,2.0,,none,2.0,car,30.0,none,,2.0,skilled,1.0,yes,yes,good
no checking,12.0,critical/other existing credit,business,1264.0,,>=7,4.0,male single,none,4.0,,57.0,none,rent,1.0,unskilled resident,1.0,none,,good
>=200,,existing paid,,1474.0,<100,,,female div/dep/mar,none,,life insurance,33.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,45.0,critical/other existing credit,,4746.0,<100,<1,4.0,,none,2.0,life insurance,25.0,none,own,2.0,unskilled resident,1.0,,yes,bad
no checking,48.0,,education,6110.0,,,1.0,male single,none,,no known property,31.0,bank,for free,1.0,skilled,1.0,yes,yes,good
>=200,18.0,existing paid,radio/tv,2100.0,,1<=X<4,4.0,male single,co applicant,,real estate,37.0,stores,own,1.0,skilled,1.0,,yes,bad
>=200,,existing paid,domestic appliance,1225.0,<100,1<=X<4,2.0,male single,none,2.0,car,37.0,,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,9.0,existing paid,,458.0,<100,,4.0,male single,none,3.0,real estate,24.0,none,own,1.0,skilled,1.0,none,yes,good
no checking,30.0,existing paid,radio/tv,2333.0,,>=7,4.0,male single,,2.0,car,30.0,bank,own,1.0,,1.0,none,yes,good
0<=X<200,12.0,existing paid,radio/tv,1158.0,500<=X<1000,1<=X<4,3.0,male div/sep,none,1.0,car,26.0,none,,1.0,,1.0,yes,yes,good
0<=X<200,,delayed previously,repairs,6204.0,<100,,2.0,,none,4.0,,44.0,none,own,1.0,unskilled resident,2.0,yes,,good
<0,30.0,critical/other existing credit,,6187.0,,4<=X<7,1.0,male mar/wid,none,4.0,car,24.0,none,rent,2.0,skilled,1.0,none,yes,good
<0,48.0,,used car,,,>=7,4.0,female div/dep/mar,none,4.0,no known property,,stores,for free,2.0,unskilled resident,1.0,none,yes,bad
no checking,11.0,critical/other existing credit,new car,1393.0,<100,<1,4.0,,none,4.0,car,,,own,2.0,high qualif/self emp/mgmt,,none,yes,good
no checking,,existing paid,,2299.0,,>=7,4.0,,none,4.0,car,39.0,none,own,1.0,skilled,,none,yes,good
<0,,existing paid,,,500<=X<1000,unemployed,,female div/dep/mar,none,2.0,life insurance,23.0,none,,1.0,unemp/unskilled non res,,yes,yes,good
,,critical/other existing credit,,,<100,1<=X<4,1.0,male single,none,,life insurance,,none,own,2.0,,1.0,,yes,good
no checking,12.0,,radio/tv,2073.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,co applicant,2.0,,28.0,,own,1.0,skilled,1.0,none,yes,good
0<=X<200,24.0,delayed previously,furniture/equipment,2333.0,no known savings,<1,,male single,none,2.0,life insurance,,bank,own,1.0,unskilled resident,,,yes,good
0<=X<200,27.0,delayed previously,,,<100,>=7,1.0,male single,none,2.0,car,30.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
no checking,12.0,existing paid,,1262.0,<100,,,male single,none,2.0,car,25.0,none,own,1.0,skilled,,none,,good
no checking,,,,3378.0,,,2.0,male single,,1.0,,,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,36.0,,new car,2225.0,,>=7,4.0,male single,none,4.0,,,bank,for free,2.0,skilled,1.0,yes,,bad
no checking,,all paid,,783.0,no known savings,1<=X<4,1.0,male single,guarantor,2.0,real estate,,stores,own,,,2.0,,yes,good
0<=X<200,12.0,existing paid,,6468.0,,unemployed,2.0,male single,,1.0,no known property,52.0,none,,,high qualif/self emp/mgmt,1.0,yes,yes,bad
no checking,36.0,,,9566.0,<100,1<=X<4,,female div/dep/mar,none,,car,,stores,own,2.0,skilled,1.0,none,,good
